from_slug,to_slug,type,label,explanation,confidence,strength,directed,evidence_urls,last_checked,source,reviewer_note
blockscout,robinhood-chain-docs,infra_dependency,Infrastructure dependency,"Blockscout is linked to Robinhood Chain Docs as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://docs.robinhood.com/chain/connecting/|Connecting docs,2026-07-16,partnerships,
chainalysis,robinhood-crypto,partner_named,Chainalysis × RH Chain,Chainalysis blog announces automatic token support for Robinhood Chain.,high,strong,true,https://www.chainalysis.com/blog/robinhood-chain-automatic-token-support/|Chainalysis blog|Chainalysis announces Robinhood Chain support,2026-07-16,partnerships,official-announcement
chainlink,robinhood-crypto,partner_named,Chainlink × RH Chain,Chainlink announces Robinhood Chain partners with Chainlink as oracle platform.,high,strong,true,https://x.com/chainlink/status/2021399623563178207|Chainlink X post|Chainlink announces Robinhood Chain oracle partnership,2026-07-16,partnerships,official-announcement
chainlink,stock-tokens-official,partner_named,Partner announces RH integration,chainlink publishes a partner announcement naming Robinhood Chain / stock-tokens-official integration.,high,strong,true,https://www.prnewswire.com/news-releases/robinhood-chain-launches-and-adopts-chainlink-to-unlock-access-to-the-onchain-economy-for-millions-of-users-302816242.html|Chainlink PR;https://robinhood.com/us/en/newsroom/robinhood-chain-launches-public-testnet/|Testnet newsroom,2026-07-16,partnerships,
ethena,robinhood-crypto,partner_named,Ethena × RH Chain,Ethena announces partnership with Robinhood Crypto to bring product suite to Robinhood Chain.,high,strong,true,https://x.com/ethena/status/2072394889061605529|Ethena X post|Ethena announces partnership with Robinhood Crypto,2026-07-16,partnerships,official-announcement
ethena,robinhood-earn,lending_stack,Earn collateral partner,Ethena announces it is primary collateral issuer for Robinhood Earn via Steakhouse-curated vault.,high,strong,true,https://x.com/ethena/status/2072394889061605529|Ethena X post|Ethena names Robinhood Earn collateral role on RH Chain,2026-07-16,partnerships,official-announcement
layerzero,robinhood-crypto,partner_named,LayerZero × RH Chain,LayerZero announces Robinhood Chain deployment / messaging support.,high,strong,true,https://x.com/LayerZero_Core/status/2072396480770674832|LayerZero post|LayerZero announces Robinhood Chain connected via LayerZero,2026-07-16,partnerships,official-announcement
lighter,robinhood-wallet,product_integration,Wallet perps powered by Lighter,Lighter announces Robinhood Wallet native perps trading powered by Lighter on Robinhood Chain.,high,strong,true,https://x.com/Lighter_xyz/status/2072401921659277595|Lighter X post|Lighter announces Wallet perps integration on RH Chain,2026-07-16,partnerships,official-announcement
maple,robinhood-earn,lending_stack,Earn stack partner,Maple announces syrupUSDG live on Robinhood Chain and approved as Earn vault collateral.,high,strong,true,https://x.com/maplefinance/status/2072396227342413938|Maple X post|Maple announces Robinhood Chain Earn integration,2026-07-16,partnerships,official-announcement
morpho,robinhood-earn,lending_stack,Earn powered by Morpho,Morpho announces Robinhood Earn is powered by Morpho vault infrastructure.,high,strong,true,https://x.com/Morpho/status/2072395963793350687|Morpho X post|Morpho announces Robinhood Earn powered by Morpho,2026-07-16,partnerships,official-announcement
morpho,steakhouse,partner_named,Earn vault curator,Morpho names Steakhouse as curator of the Morpho vault behind Robinhood Earn.,high,strong,true,https://x.com/Morpho/status/2072395963793350687|Morpho X post|Morpho names @SteakhouseFi as Earn vault curator,2026-07-16,partnerships,official-announcement
pleiades,robinhood-crypto,partner_named,Partner announces RH integration,pleiades publishes a partner announcement naming Robinhood Chain / robinhood-crypto integration.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-16,partnerships,
privy,robinhood-chain-docs,infra_dependency,Infrastructure dependency,"Privy is linked to Robinhood Chain Docs as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://docs.robinhood.com/chain/connecting/|Connecting docs,2026-07-16,partnerships,
quicknode,robinhood-chain-docs,infra_dependency,Infrastructure dependency,"QuickNode is linked to Robinhood Chain Docs as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://docs.robinhood.com/chain/connecting/|Connecting docs;https://www.quicknode.com/builders-guide/best/top-10-robinhood-chain-rpc-providers|QuickNode guide,2026-07-16,partnerships,
rialto,stock-tokens-official,partner_named,Partner announces RH integration,rialto publishes a partner announcement naming Robinhood Chain / stock-tokens-official integration.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-16,partnerships,
robinhood-chain-docs,alchemy,infra_dependency,Recommended RPC partner,Robinhood Chain docs name Alchemy as the recommended infrastructure provider for builders.,high,strong,true,https://docs.robinhood.com/chain/connecting/|Connecting docs|Docs recommend Alchemy for Robinhood Chain RPC,2026-07-16,partnerships,official-announcement
robinhood-chain-docs,alchemy,partner_named,RH names testnet partner,Robinhood testnet newsroom names Alchemy as an infrastructure partner integrating with Robinhood Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-chain-launches-public-testnet/|Testnet newsroom|Robinhood announces Alchemy as testnet infrastructure partner,2026-07-16,partnerships,official-announcement
robinhood-chain-docs,allium,partner_named,RH names testnet partner,Robinhood testnet newsroom names Allium as an infrastructure partner integrating with Robinhood Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-chain-launches-public-testnet/|Testnet newsroom|Robinhood announces Allium as testnet infrastructure partner,2026-07-16,partnerships,official-announcement
robinhood-chain-docs,arbitrum,partner_named,RH names launch partner,Robinhood (robinhood-chain-docs) names arbitrum as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
robinhood-chain-docs,chainlink,partner_named,RH names testnet partner,Robinhood testnet newsroom names Chainlink as an infrastructure partner integrating with Robinhood Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-chain-launches-public-testnet/|Testnet newsroom|Robinhood announces Chainlink as testnet infrastructure partner,2026-07-16,partnerships,official-announcement
robinhood-chain-docs,layerzero,partner_named,RH names testnet partner,Robinhood testnet newsroom names LayerZero as an infrastructure partner integrating with Robinhood Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-chain-launches-public-testnet/|Testnet newsroom|Robinhood announces LayerZero as testnet infrastructure partner,2026-07-16,partnerships,official-announcement
robinhood-chain-docs,quicknode,infra_dependency,Supported RPC provider,Robinhood Chain docs list QuickNode as a supported RPC provider for the network.,high,strong,true,https://docs.robinhood.com/chain/connecting/|Connecting docs|Docs list QuickNode as supported RPC provider,2026-07-16,partnerships,official-announcement
robinhood-chain-docs,robinhood-crypto,official_stack,Official product family,Robinhood Chain Docs and Robinhood Crypto are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
robinhood-chain-docs,trm-labs,partner_named,RH names testnet partner,Robinhood testnet newsroom names TRM Labs as an infrastructure partner integrating with Robinhood Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-chain-launches-public-testnet/|Testnet newsroom|Robinhood announces TRM Labs as testnet infrastructure partner,2026-07-16,partnerships,official-announcement
robinhood-crypto,arbitrum,infra_dependency,Built on Arbitrum L2,Official RH Chain page states the network is developed on Arbitrum Layer 2 infrastructure (Orbit-class stack context).,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-10,partnerships,digest-2026-07-10
robinhood-crypto,blockaid,partner_named,RH names Blockaid partner,Robinhood Crypto promotes Blockaid security platform for Robinhood Chain builders.,high,strong,true,https://x.com/RobinhoodCrypto/status/2077394806968320166|Robinhood Crypto X post|Robinhood Crypto names Blockaid for RH Chain builders,2026-07-16,partnerships,official-announcement
robinhood-crypto,morpho,partner_named,RH names mainnet partner,Robinhood mainnet newsroom names Morpho in the day-1 trading / ecosystem partner set.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Mainnet newsroom|Robinhood announces Morpho in mainnet launch partner list,2026-07-16,partnerships,official-announcement
robinhood-crypto,rialto,partner_named,RH names mainnet partner,Robinhood mainnet newsroom names Rialto in the day-1 trading / ecosystem partner set.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Mainnet newsroom|Robinhood announces Rialto in mainnet launch partner list,2026-07-16,partnerships,official-announcement
robinhood-crypto,robinhood-chain-docs,official_stack,Official product family,Robinhood Crypto and Robinhood Chain Docs are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
robinhood-crypto,robinhood-earn,official_stack,Official product family,Robinhood Crypto and Robinhood Earn are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
robinhood-crypto,robinhood-wallet,official_stack,Official product family,Robinhood Crypto and Robinhood Wallet are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
robinhood-crypto,stock-tokens-official,official_stack,Official product family,Robinhood Crypto and Stock Tokens (official) are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
robinhood-crypto,uniswap,partner_named,RH names mainnet partner,Robinhood mainnet newsroom names Uniswap in the day-1 trading / ecosystem partner set.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Mainnet newsroom|Robinhood announces Uniswap in mainnet launch partner list,2026-07-16,partnerships,official-announcement
robinhood-earn,ethena,lending_stack,Earn stack partner,Newsroom cites Ethena in Robinhood Earn partner stack around USDG lending on RH Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-10,partnerships,digest-2026-07-10
robinhood-earn,maple,lending_stack,Earn stack partner,Maple named in Earn launch partner stack — institutional credit lane distinct from open Morpho markets.,high,moderate,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-10,partnerships,digest-2026-07-10
robinhood-earn,morpho,lending_stack,Earn powered by Morpho,Official Earn copy and newsroom name Morpho as lending infrastructure behind USDG yield narrative on RH Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-10,partnerships,digest-2026-07-10
robinhood-earn,spark,lending_stack,Earn stack partner,Spark appears in official Earn-adjacent partner narrative alongside Morpho on RH Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-10,partnerships,digest-2026-07-10
robinhood-earn,steakhouse,lending_stack,Earn curator partner,Newsroom launch narrative names Steakhouse among Earn/Morpho partner stack on RH Chain.,high,strong,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-10,partnerships,digest-2026-07-10
robinhood-earn,usdg-paxos,lending_stack,RH names launch partner,Robinhood (robinhood-earn) names usdg-paxos as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://robinhood.com/us/en/crypto/earn/|Earn;https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-16,partnerships,
robinhood-wallet,1inch,partner_named,RH names launch partner,Robinhood (robinhood-wallet) names 1inch as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
robinhood-wallet,1inch,product_integration,Wallet trading routes,Wallet trading narratives on RH Chain cite aggregator routing (1inch-class) alongside native DEX venues for swap UX.,high,moderate,true,https://x.com/RobinhoodCrypto/status/2077420481355849815|X post,2026-07-10,partnerships,digest-2026-07-10
robinhood-wallet,blockaid,product_integration,Security partner (Wallet),Blockaid announces real-time transaction protection for Robinhood Chain builders and Wallet-adjacent flows.,high,strong,true,https://www.blockaid.io/blog/blockaid-brings-real-time-transaction-protection-to-robinhood-chain|Blockaid blog|Blockaid announces Robinhood Chain security partnership,2026-07-16,partnerships,official-announcement
robinhood-wallet,lighter,partner_named,RH names Lighter partner,Robinhood announces Wallet supports perpetual futures via Lighter on Robinhood Chain.,high,strong,true,https://x.com/RobinhoodApp/status/2072390243500658876|Robinhood X post|Robinhood announces Wallet perps via Lighter,2026-07-16,partnerships,official-announcement
robinhood-wallet,robinhood-crypto,official_stack,Official product family,Robinhood Wallet and Robinhood Crypto are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
robinhood-wallet,trust-wallet,infra_dependency,Infrastructure dependency,"Robinhood Wallet is linked to Trust Wallet as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
robinhood-wallet,uniswap,partner_named,RH names launch partner,Robinhood (robinhood-wallet) names uniswap as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
robinhood-wallet,uniswap,product_integration,Wallet checkout on RH Chain,@RobinhoodCrypto (Tier 0) promoted Apple/Google Pay checkout on Robinhood Chain via Wallet — swaps/liquidity often route through public DEX infra like Uniswap.,high,strong,true,https://x.com/RobinhoodCrypto/status/2077420481355849815|X post,2026-07-16,partnerships,digest-2026-07-16
robinode,stock-tokens-official,product_integration,Partner announces RH integration,robinode publishes a partner announcement naming Robinhood Chain / stock-tokens-official integration.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
spark,robinhood-earn,lending_stack,Earn stack partner,Spark publishes launch commentary on Robinhood Earn / Robinhood Chain mainnet.,high,strong,true,https://x.com/sparkdotfi/status/2072400270797996332|Spark X post|Spark discusses Robinhood Earn launch on RH Chain,2026-07-16,partnerships,official-announcement
steakhouse,robinhood-earn,lending_stack,Earn curator partner,Steakhouse announces it curates the Morpho vault behind Robinhood Earn on Robinhood Chain.,high,strong,true,https://x.com/SteakhouseFi/status/2072401950801560015|Steakhouse X post|Steakhouse announces Robinhood Earn vault curation,2026-07-16,partnerships,official-announcement
stock-tokens-official,chainlink,partner_named,RH names launch partner,Robinhood (stock-tokens-official) names chainlink as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
stock-tokens-official,rialto,partner_named,RH names launch partner,Robinhood (stock-tokens-official) names rialto as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
stock-tokens-official,robinhood-crypto,official_stack,Official product family,Stock Tokens (official) and Robinhood Crypto are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
stock-tokens-official,uniswap,partner_named,RH names launch partner,Robinhood (stock-tokens-official) names uniswap as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
stock-tokens-official,usdg-paxos,product_integration,RH names launch partner,Robinhood (stock-tokens-official) names usdg-paxos as a day-1 / launch partner in official newsroom or product copy.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
symbiosis,robinhood-crypto,partner_named,Symbiosis × RH Chain,Symbiosis announces 60+ chains connected to Robinhood Crypto / Robinhood Chain bridging.,high,strong,true,https://x.com/symbiosis_fi/status/2077335234710843534|Symbiosis X post|Symbiosis announces Robinhood Chain bridge support,2026-07-16,partnerships,official-announcement
trm-labs,robinhood-crypto,partner_named,TRM × RH Chain,TRM Labs announces it is a blockchain intelligence partner for Robinhood Chain.,high,strong,true,https://x.com/trmlabs/status/2072447956993581330|TRM X post|TRM announces Robinhood Chain intelligence partnership,2026-07-16,partnerships,official-announcement
trust-wallet,robinhood-wallet,infra_dependency,Infrastructure dependency,"Trust Wallet is linked to Robinhood Wallet as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
uniswap,robinhood-crypto,partner_named,Uniswap × RH Chain,Uniswap blog announces v2/v3/v4 and UniswapX live on Robinhood Chain as primary public AMM.,high,strong,true,https://blog.uniswap.org/robinhood-chain-is-live|Uniswap blog|Uniswap announces Robinhood Chain deployment,2026-07-16,partnerships,official-announcement
usdg-paxos,robinhood-earn,lending_stack,Partner announces RH integration,usdg-paxos publishes a partner announcement naming Robinhood Chain / robinhood-earn integration.,high,strong,true,https://robinhood.com/us/en/crypto/earn/|Earn;https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-16,partnerships,
virtuals,robinhood-crypto,product_integration,Agent infra integration,Virtuals announces Robinhood Chain integrates Virtuals AI agent infrastructure from day one.,high,strong,true,https://x.com/virtuals_io/status/2072551467085709488|Virtuals X post|Virtuals announces RH Chain day-1 agent infrastructure integration,2026-07-16,partnerships,official-announcement
vlad-tenev,robinhood-crypto,official_stack,Official product family,Vlad Tenev and Robinhood Crypto are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
vlad-tenev,robinhood-wallet,official_stack,Official product family,Vlad Tenev and Robinhood Wallet are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
vlad-tenev,stock-tokens-official,official_stack,Official product family,Vlad Tenev and Stock Tokens (official) are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
