from_slug,to_slug,type,label,explanation,confidence,strength,directed,evidence_urls,last_checked,source,reviewer_note
4-fun,pons,competitive,Same job — competing rails,4.fun and Pons compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,medium,moderate,true,https://4.fun/|Primary,2026-07-16,csv_manual,
aeon-protocol,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around AEON Protocol. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
aeon-protocol,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around AEON Protocol. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
alchemy,arbitrum,partner_named,Day-1 / launch partner,Arbitrum is named as a day-1 or launch partner in narratives around Alchemy. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
alchemy,quicknode,partner_named,Day-1 / launch partner,QuickNode is named as a day-1 or launch partner in narratives around Alchemy. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
alchemy,robinhood-chain-docs,partner_named,Day-1 / launch partner,Robinhood Chain Docs is named as a day-1 or launch partner in narratives around Alchemy. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
allium,alchemy,partner_named,Day-1 / launch partner,Alchemy is named as a day-1 or launch partner in narratives around Allium. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
allium,arbitrum,partner_named,Day-1 / launch partner,Arbitrum is named as a day-1 or launch partner in narratives around Allium. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
allium,chainlink,partner_named,Day-1 / launch partner,Chainlink is named as a day-1 or launch partner in narratives around Allium. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
arbitrum,robinhood-chain-docs,partner_named,Day-1 / launch partner,Robinhood Chain Docs is named as a day-1 or launch partner in narratives around Arbitrum. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
arbitrum,robinhood-crypto,partner_named,Day-1 / launch partner,Robinhood Crypto is named as a day-1 or launch partner in narratives around Arbitrum. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
arcus,stock-tokens-official,product_integration,Product / UX integration,Arcus is oriented as integrating with or routing through Stock Tokens (official) in official or high-signal ecosystem copy. Confirm live deployments before assuming user exposure.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,csv_manual,
arcus,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Arcus. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
bitgo,robinhood-crypto,infra_dependency,Infrastructure dependency,"BitGo is linked to Robinhood Crypto as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
bitgo,robinhood-wallet,infra_dependency,Infrastructure dependency,"BitGo is linked to Robinhood Wallet as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,csv_manual,
blockaid,arbitrum,partner_named,Day-1 / launch partner,Arbitrum is named as a day-1 or launch partner in narratives around Blockaid. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
blockaid,robinhood-wallet,partner_named,Day-1 / launch partner,Robinhood Wallet is named as a day-1 or launch partner in narratives around Blockaid. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,csv_manual,
blockaid,robinhood-wallet,product_integration,Day-1 security partner,Blockaid is cited as ecosystem security/threat-detection partner with Wallet-adjacent builder protection narratives on RH Chain.,high,moderate,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-10,x_digest,digest-2026-07-10
blockaid,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Blockaid. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
blockscout,alchemy,partner_named,Day-1 / launch partner,Alchemy is named as a day-1 or launch partner in narratives around Blockscout. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
blockscout,robinhood-chain-docs,infra_dependency,Infrastructure dependency,"Blockscout is linked to Robinhood Chain Docs as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
cash-cat,noxa-fun,competitive,Meme attention via launch rails,Native memes like Cash Cat often ride launchpad distribution rails (NOXA-class pads) for early attention — does not imply official endorsement.,low,weak,true,https://x.com/thedefiedge/status/2077709910591365630|X post,2026-07-03,x_digest,digest-2026-07-03
cash-cat,noxa-fun,ecosystem_directory,Ecosystem map adjacency,Cash Cat and NOXA Fun are mapped together in the RH Chain landscape as related venues or rails. Verify primary sources before interacting.,high,strong,true,,2026-07-16,csv_manual,
cash-cat,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Cash Cat. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
chainalysis,alchemy,partner_named,Day-1 / launch partner,Alchemy is named as a day-1 or launch partner in narratives around Chainalysis. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
chainalysis,arbitrum,partner_named,Day-1 / launch partner,Arbitrum is named as a day-1 or launch partner in narratives around Chainalysis. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
chainalysis,chainlink,partner_named,Day-1 / launch partner,Chainlink is named as a day-1 or launch partner in narratives around Chainalysis. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
chainlink,layerzero,partner_named,Day-1 / launch partner,LayerZero is named as a day-1 or launch partner in narratives around Chainlink. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
chainlink,robinhood-crypto,partner_named,Day-1 / launch partner,Robinhood Crypto is named as a day-1 or launch partner in narratives around Chainlink. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
chainlink,stock-tokens-official,partner_named,Day-1 / launch partner,Stock Tokens (official) is named as a day-1 or launch partner in narratives around Chainlink. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,csv_manual,
curve,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Curve. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://curve.finance/|Primary,2026-07-16,csv_manual,
curve,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Curve. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://curve.finance/|Primary,2026-07-16,csv_manual,
dexfi-aggregator,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around DexFi Aggregator. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://dexfi.com/|Primary,2026-07-16,csv_manual,
dexfi-aggregator,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around DexFi Aggregator. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://dexfi.com/|Primary,2026-07-16,csv_manual,
ethena,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Ethena. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
ethena,robinhood-earn,lending_stack,Earn / lending stack,"Ethena and Robinhood Earn sit in the Robinhood Earn / USDG / Morpho lending story on RH Chain. Yield, curator, and market parameters change — read primary docs.",high,strong,true,https://robinhood.com/us/en/crypto/earn/|Earn;https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-16,csv_manual,
ethena,usdg-paxos,partner_named,Day-1 / launch partner,USDG / Paxos is named as a day-1 or launch partner in narratives around Ethena. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
fireblocks,alchemy,partner_named,Day-1 / launch partner,Alchemy is named as a day-1 or launch partner in narratives around Fireblocks. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
fireblocks,arbitrum,partner_named,Day-1 / launch partner,Arbitrum is named as a day-1 or launch partner in narratives around Fireblocks. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
fireblocks,chainlink,partner_named,Day-1 / launch partner,Chainlink is named as a day-1 or launch partner in narratives around Fireblocks. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
flap,noxa-fun,competitive,Same job — competing rails,Flap and NOXA Fun compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,high,strong,true,,2026-07-16,csv_manual,
flap,pons,competitive,Same job — competing rails,Flap and Pons compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,medium,moderate,true,,2026-07-16,csv_manual,
flap,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Flap. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
frothswap,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around FrothSwap. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
frothswap,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around FrothSwap. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
hoodbets,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Hoodbets. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
hoodbets,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Hoodbets. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
hoodit,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Hoodit. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
hoodit,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Hoodit. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
hoodz,noxa-fun,ecosystem_directory,Ecosystem map adjacency,HOODZ and NOXA Fun are mapped together in the RH Chain landscape as related venues or rails. Verify primary sources before interacting.,high,strong,true,,2026-07-16,csv_manual,
index-fi,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Index Fi. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
index-fi,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Index Fi. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
layerzero,chainlink,partner_named,Day-1 / launch partner,Chainlink is named as a day-1 or launch partner in narratives around LayerZero. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
layerzero,robinhood-crypto,partner_named,Day-1 / launch partner,Robinhood Crypto is named as a day-1 or launch partner in narratives around LayerZero. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
layerzero,symbiosis,partner_named,Day-1 / launch partner,Symbiosis is named as a day-1 or launch partner in narratives around LayerZero. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://symbiosis.finance|Symbiosis,2026-07-16,csv_manual,
lighter,robinhood-wallet,product_integration,Product / UX integration,Lighter is oriented as integrating with or routing through Robinhood Wallet in official or high-signal ecosystem copy. Confirm live deployments before assuming user exposure.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,csv_manual,
lighter,uniswap,partner_named,Day-1 / launch partner (text),Uniswap is named as a day-1 or launch partner in narratives around Lighter. Partner naming is orientation only — not performance or security endorsement. Uniswap appears in Lighter about/summary copy.,high,strong,true,,2026-07-16,text_mining,auto from about/summary
maple,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Maple. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
maple,robinhood-earn,lending_stack,Earn / lending stack,"Maple and Robinhood Earn sit in the Robinhood Earn / USDG / Morpho lending story on RH Chain. Yield, curator, and market parameters change — read primary docs.",high,strong,true,https://robinhood.com/us/en/crypto/earn/|Earn;https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-16,csv_manual,
maple,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Maple. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
meridian-predict,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Meridian Predict. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
meridian-predict,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Meridian Predict. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
midas-rwa,morpho,partner_named,Day-1 / launch partner,Morpho is named as a day-1 or launch partner in narratives around Midas RWA. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
midas-rwa,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Midas RWA. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
morpho,ethena,partner_named,Day-1 / launch partner,Ethena is named as a day-1 or launch partner in narratives around Morpho. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
morpho,maple,partner_named,Day-1 / launch partner,Maple is named as a day-1 or launch partner in narratives around Morpho. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
morpho,robinhood-earn,lending_stack,Earn / lending stack,"Morpho and Robinhood Earn sit in the Robinhood Earn / USDG / Morpho lending story on RH Chain. Yield, curator, and market parameters change — read primary docs.",high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
morpho,spark,partner_named,Day-1 / launch partner,Spark is named as a day-1 or launch partner in narratives around Morpho. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
morpho,steakhouse,partner_named,Day-1 / launch partner,Steakhouse is named as a day-1 or launch partner in narratives around Morpho. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
morpho,usdg-paxos,partner_named,Day-1 / launch partner,USDG / Paxos is named as a day-1 or launch partner in narratives around Morpho. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://morpho.org/|Morpho,2026-07-16,csv_manual,
news-for-robinhood,cash-cat,twitter_mention,$WALLET cluster narrative,@NewsForRH mapped wallet/deployer clusters around high-visibility native tokens including Cash Cat-class attention assets. CT intel — verify onchain.,low,weak,true,https://x.com/NewsForRH/status/2077717819823886447|X post,2026-07-16,x_digest,digest-2026-07-16
news-for-robinhood,the-defi-edge,media_intel,Intel cites research tier,News For Robinhood maps ecosystem intel and references Tier-1 research accounts like The DeFi Edge for narrative framing.,low,weak,true,https://x.com/NewsForRH/status/2077717819823886447|X post,2026-07-03,x_digest,digest-2026-07-03
news-for-robinhood,tom-wan,media_intel,Intel cites onchain research,News For Robinhood sits in the same CT intel cluster as Tom Wan deploy/volume posts — secondary source only.,low,weak,true,https://x.com/NewsForRH/status/2077717819823886447|X post,2026-07-03,x_digest,digest-2026-07-03
noxa-fun,4-fun,competitive,Same job — competing rails,NOXA Fun and 4.fun compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,high,strong,true,https://4.fun/|Primary,2026-07-16,csv_manual,
noxa-fun,flap,competitive,Launchpad war triad,NOXA and Flap trade leaderboard positions with Pons in early RH launchpad war coverage.,medium,moderate,true,https://x.com/tomwanhh/status/2077686289541824987|X post,2026-07-03,x_digest,digest-2026-07-03
noxa-fun,pons,competitive,Launchpad war leaderboard,NOXA and Pons are repeatedly paired in CT deploy-rank narratives as leading RH launchpads in week-one metrics.,medium,moderate,true,https://x.com/tomwanhh/status/2077686289541824987|X post,2026-07-03,x_digest,digest-2026-07-03
noxa-fun,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around NOXA Fun. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
pancakeswap,1inch,partner_named,Day-1 / launch partner,1inch is named as a day-1 or launch partner in narratives around PancakeSwap. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://pancakeswap.finance/|Primary,2026-07-16,csv_manual,
pancakeswap,robinhood-wallet,product_integration,Product / UX integration,PancakeSwap is oriented as integrating with or routing through Robinhood Wallet in official or high-signal ecosystem copy. Confirm live deployments before assuming user exposure.,high,strong,true,https://pancakeswap.finance/|Primary,2026-07-16,csv_manual,
pancakeswap,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around PancakeSwap. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://pancakeswap.finance/|Primary,2026-07-16,csv_manual,
pleiades,rialto,partner_named,Day-1 / launch partner,Rialto is named as a day-1 or launch partner in narratives around Pleiades. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
pleiades,robinhood-crypto,partner_named,Day-1 / launch partner,Robinhood Crypto is named as a day-1 or launch partner in narratives around Pleiades. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
pleiades,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Pleiades. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
pons,4-fun,competitive,Same job — competing rails,Pons and 4.fun compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,medium,moderate,true,https://4.fun/|Primary,2026-07-16,csv_manual,
pons,4-fun,twitter_mention,Approval-surface risk flag,@Nikitont flagged Multicall3 / approval-surface concerns on paths related to Pons-class launchpads. Treat as risk lead — verify contracts before interacting.,medium,weak,true,https://x.com/Nikitont/status/2077713827181773021|X post,2026-07-16,x_digest,digest-2026-07-16
pons,flap,competitive,Pons flipped Flap on deploys (15 Jul),@tomwanhh reported Pons overtook Flap in RH launchpad deploy counts around 15 Jul 2026. Competitive leaderboard only — not safety or quality ranking.,medium,moderate,true,https://x.com/tomwanhh/status/2077686289541824987|X post,2026-07-16,x_digest,digest-2026-07-16
pons,noxa-fun,competitive,Same job — competing rails,Pons and NOXA Fun compete for the same attention job (e.g. launchpad deploy volume). Competitive ranking ≠ quality or safety.,high,strong,true,,2026-07-16,csv_manual,
privy,alchemy,partner_named,Day-1 / launch partner,Alchemy is named as a day-1 or launch partner in narratives around Privy. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
privy,robinhood-chain-docs,infra_dependency,Infrastructure dependency,"Privy is linked to Robinhood Chain Docs as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
quicknode,alchemy,partner_named,Day-1 / launch partner,Alchemy is named as a day-1 or launch partner in narratives around QuickNode. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
quicknode,arbitrum,partner_named,Day-1 / launch partner,Arbitrum is named as a day-1 or launch partner in narratives around QuickNode. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.arbitrum.io/|Arbitrum docs,2026-07-16,csv_manual,
quicknode,robinhood-chain-docs,infra_dependency,Infrastructure dependency,"QuickNode is linked to Robinhood Chain Docs as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
rialto,arcus,partner_named,Day-1 / launch partner,Arcus is named as a day-1 or launch partner in narratives around Rialto. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
rialto,pleiades,liquidity_stack,Day-1 prop liquidity pair,Rialto and Pleiades appear as paired prop/specialized liquidity venues in day-1 mainnet trading lists versus public Uniswap pools.,high,moderate,true,https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,2026-07-10,x_digest,digest-2026-07-10
rialto,pleiades,partner_named,Day-1 / launch partner,Pleiades is named as a day-1 or launch partner in narratives around Rialto. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,,2026-07-16,csv_manual,
rialto,stock-tokens-official,partner_named,Day-1 / launch partner,Stock Tokens (official) is named as a day-1 or launch partner in narratives around Rialto. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,csv_manual,
rialto,uniswap,partner_named,Day-1 / launch partner,Uniswap is named as a day-1 or launch partner in narratives around Rialto. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://uniswap.org/|Uniswap,2026-07-16,csv_manual,
robinhood-chain-docs,alchemy,partner_named,Day-1 / launch partner,Alchemy is named as a day-1 or launch partner in narratives around Robinhood Chain Docs. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
robinhood-chain-docs,arbitrum,partner_named,Day-1 / launch partner,Arbitrum is named as a day-1 or launch partner in narratives around Robinhood Chain Docs. Partner naming is orientation only — not performance or security endorsement.,high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
robinhood-chain-docs,quicknode,infra_dependency,Infrastructure dependency,"Robinhood Chain Docs is linked to QuickNode as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
robinhood-chain-docs,robinhood-crypto,official_stack,Official product family,Robinhood Chain Docs and Robinhood Crypto are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
robinhood-crypto,arbitrum,infra_dependency,Built on Arbitrum L2,Official RH Chain page states the network is developed on Arbitrum Layer 2 infrastructure (Orbit-class stack context).,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-10,x_digest,digest-2026-07-10
robinhood-crypto,arbitrum,partner_named,Day-1 / launch partner (text),Arbitrum is named as a day-1 or launch partner in narratives around Robinhood Crypto. Partner naming is orientation only — not performance or security endorsement. Arbitrum appears in Robinhood Crypto about/summary copy.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,text_mining,auto from about/summary
robinhood-crypto,robinhood-chain-docs,official_stack,Official product family,Robinhood Crypto and Robinhood Chain Docs are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
robinhood-crypto,robinhood-earn,official_stack,Official product family,Robinhood Crypto and Robinhood Earn are official Robinhood Chain product surfaces in the same stack — verify each product's eligibility and docs separately.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,csv_manual,
